Machine_Type,Company Code,Name of recipient,Equipment,Description of technical object,Status,Specification,Chassis number,Engine serial number,Engine Model,Engine power,Engine capacity,License plate number,Tax,Insurance,Duties,Note,Class,Asset,Manufacturer of asset,Keyword,Registered
Plant,2000,แพล้นท์ยางกระบี่_2000,APT-007,แพล้นท์ผสมยางมะตอย PARKER M-1500,ใช้งาน,,,,,0,0,,6/3/2566,,0,,APT,221000000000,PARKER,เครื่องผสมแอสฟัลท์,27/12/2535
Plant,2000,แพล้นท์ยางบางปะหัน_2000,APT-011,แพล้นท์ผสมยางมะตอย SPECO Batchmaster1500,ใช้งาน,,,,,0,0,,22/10/2566,,0,,APT,221000000000,SPECO,เครื่องผสมแอสฟัลท์,
Support,1000,รถไฟ4-7สระบุรี_1000,ASPT-001,ชุดเครื่องมือทดสอบงานแอสฟัลท์คอนกรีต,Stand by/รอใช้งาน,ย้ายจาก 2-1,,,,0,0,,,,0,,ASPT,,,ชุดเครื่องมือทดสอบงานแอสฟัลท์คอนกรีต,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,ASPT-002,ชุดเครื่องมือทดสอบงานแอสฟัลท์คอนกรีต,Stand by/รอใช้งาน,คชจ.ลงโครการ บางพระ,,,,0,0,,,,0,,ASPT,,,ชุดเครื่องมือทดสอบงานแอสฟัลท์คอนกรีต,
Support,2000,ทล.3901ตอน2.2_2000,ASPT-003,ชุดเครื่องมือทดสอบงานแอสฟัลท์คอนกรีต,Stand by/รอใช้งาน,COSTทล.3901 ตอน 2 กม.56,,,,0,0,,,,0,,ASPT,,,ชุดเครื่องมือทดสอบงานแอสฟัลท์คอนกรีต,
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,BH-331,รถแบคโฮ ล้อแทร็ค DAEWOO SOLAR225+Vibro,เสีย/รอซ่อม,ไม่เต็ม100/ไม่มีแรง,DHAHEMXOE.60002355,DB58TIS-601455 EB,DAEWOO-DB58TIS,150,5.79,1ตจ-6491 กทม.,,15/9/2569,"6,075.00",,BH,221000000000,DAEWOO,รถแบคโฮ,15/9/2559
Heavy,3000,หน่วยงานสระบุรี(ส่วนกลาง),BH-354,รถแบคโฮ ล้อแทร็ค VOLVO EC210B+หัวป็อก,เสีย/ซ่อม,BK-008/รอเช็ค,VCEC210BL00070279,10832541,VOLVO,167,5.7,1ตค-6420 กทม.,12/4/2569,26/6/2569,"6,075.00",,BH,321000000000,VOLVO,รถแบคโฮ,26/6/2557
Heavy,3000,ศูนย์ซ่อมสระบุรี_3000,BH-355,รถแบคโฮ ล้อแทร็ค VOLVO EC290BLC,เสีย/ซ่อม,สตาร์ทไม่ติด,EC290V14328,10186051,VOLVO,205,7.1,1ตค-6421 กทม.,,26/6/2569,"6,075.00",,BH,321000000000,VOLVO,รถแบคโฮ,26/6/2557
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,BH-359,รถแบคโฮ ล้อแทร็ค VOLVO EC290+Vibro,เสีย/ซ่อม,VH-001/รออะไหล่ช่วงล่าง,EC290-V-13450,10009747,VOLVO,205,7.1,1ตค-6002 กทม.,,17/6/2569,"6,075.00",,BH,121000000000,VOLVO,รถแบคโฮ,17/6/2557
Heavy,2000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-361,รถแบคโฮ ล้อแทร็ค VOLVO EC380DL,ใช้งาน,วัยริน,VCEC380DT00270740,D13-407431,VOLVO-D13,279,12.8,1ตฉ-3996 กทม.,,17/3/2569,"6,075.00",,BH,221000000000,VOLVO,รถแบคโฮ,17/3/2560
Heavy,2000,อุโมงค์หัวหิน_1000,BH-363,รถแบคโฮ ล้อแทร็ค VOLVO EC380DL+Vibro,Stand by/รอใช้งาน,VH-004/คมสัน ผช.โฟแมน,VCEC380DC00270851,D13-415352,VOLVO-D13,279,12.8,1ตญ-1355 กทม.,,2/4/2569,"6,075.00",,BH,221000000000,VOLVO,รถแบคโฮ,2/4/2562
Heavy,1000,อุโมงค์หัวหิน_1000,BH-365,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-8,ใช้งาน,,YN12T13359,J05E TG35149,HINO-JO5E4,155,0,1ตช-5365 กทม.,,30/1/2569,"6,075.00",,BH,121000000000,KOBELCO,รถแบคโฮ,30/1/2561
Heavy,1000,อุโมงค์หัวหิน_1000,BH-366,รถแบคโฮ ล้อแทร็ค KOBELCO SK60-8 หัวป๊อก,ใช้งาน,BK-006/ทวีทรัพย์ ขับ,LE10H-2765,04973A,YANMAR-4TNV94L,48,0,1ตช-5361 กทม.,,30/1/2569,"5,175.00",,BH,121000000000,KOBELCO,รถแบคโฮ,30/1/2561
Heavy,2000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-367,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-8,ใช้งาน,สุริยา พุมมี,YN12T13613,J05E-TG35567,HINO-JO5E,155,0,1ตช-7077 กทม.,,14/3/2569,"6,075.00",,BH,221000000000,KOBELCO,รถแบคโฮ,14/3/2561
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,BH-368,รถแบคโฮ ล้อแทร็ค KOBELCO SK60-8,Stand by/รอใช้งาน,OK,LE10-H3218,YANMAR 4 TNV94L,YANMAR,48,3.05,1ตช-5717 กทม.,,6/2/2569,"5,175.00",,BH,121000000000,KOBELCO,รถแบคโฮ,6/2/2561
Heavy,2000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-369,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-8,ใช้งาน,,YN12T14598,J05E TG36497,HINO-JO5E,155,0,1ตช-5362 กทม.,,30/1/2569,"6,075.00",,BH,221000000000,KOBELCO,รถแบคโฮ,30/1/2561
Heavy,2000,บริษัท ซีเออีซี คอนสตรัคชั่น จำกัด,BH-370,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-8,ใช้งาน,,YN12T14599,JO5E TG36501,HINO-JO5E,155,0,1ตช-5360 กทม.,12/4/2568,30/1/2569,"6,075.00",,BH,221000000000,KOBELCO,รถแบคโฮ,30/1/2561
Heavy,1000,แพล้นท์ยางบางปะหัน_1000,BH-371,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-8,Stand by/รอใช้งาน,,YN12T14591,JO5E-TG36516,HINO-JO5E,155,0,1ตช-5364 กทม.,,30/1/2569,"6,075.00",,BH,121000000000,KOBELCO,รถแบคโฮ,30/1/2561
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,BH-372,รถแบคโฮ ล้อแทร็ค KOMATSU PC350-8M0,เสีย/ซ่อม,ARMตก/ส่งตรวจ BOX CONTROL,KMTPC247EGTC90429,6D114-26872279,KOMATSU-SAA6D114E-3,260,8.27,1ตช-5718 กทม.,,6/2/2569,"6,075.00",,BH,221000000000,KOMATSU,รถแบคโฮ,6/2/2561
Heavy,1000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-373,รถแบคโฮ ล้อแทร็ค KOBELCO SK380-D,ใช้งาน,,YC11-06187,J08E UN12897,HINO-J08E,284,0,1ตช-5363 กทม.,,30/1/2569,"6,075.00",,BH,121000000000,KOBELCO,รถแบคโฮ,30/1/2561
Heavy,2000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,BH-376,รถแบคโฮ ล้อแทร็ค KOBELCO SK50-P,ใช้งาน,พระราม3,PS03-09116,4TNV88-120176,YANMAR  4TNV88-B,40,2.19,1ตญ-1707 กทม.,,10/4/2569,"4,725.00",,BH,221000000000,KOBELCO,รถแบคโฮ,10/4/2562
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,BH-377,รถแบคโฮ ล้อแทร็ค JOHN DEERE E210-LC,Stand by/รอใช้งาน,OK,1YNE21ALJJ0400888,UG4045G002916,JOHN DEERE,158,0,1ฒฎ-2543 กทม.,,21/1/2569,"6,075.00",,BH,221000000000,JOHN DEERE,รถแบคโฮ,21/1/2563
Heavy,1000,บริษัท ซีเออีซี คอนสตรัคชั่น จำกัด,BH-378,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-10,ใช้งาน,"ฟรีPM 11,500 H",YN15426767,J05E-TG42693,HINO-JO5E,155,0,1ตฎ-3790 กทม.,,25/2/2569,"6,075.00",,BH,121000000000,อริยะอีควิปเม้นท์(ประเทศไทย),รถแบคโฮ,25/2/2563
Heavy,1000,ควนกุน ตอน 1,BH-379,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-10,ใช้งาน,,YN15426766,JO5E-TG42679,HINO-JO5E,155,0,1ตฎ-3802 กทม.,,25/2/2569,"6,075.00",,BH,121000000000,อริยะอีควิปเม้นท์(ประเทศไทย),รถแบคโฮ,25/2/2563
Heavy,2000,รถไฟ4-7สระบุรี_2000,BH-380,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-10,ใช้งาน,EDA-003,YN15426770,J05E TG42738,HINO-JO5E,155,0,1ตฏ-3789 กทม.,,25/2/2569,"6,075.00",,BH,221000000000,KOBELCOอริยะอีควิปเม้นท์(ประเท,รถแบคโฮ,25/2/2563
Heavy,1000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-381,รถแบคโฮ ล้อแทร็ค KOBELCO SK200-10,ใช้งาน,รอเทสพขร.ใหม่(วรวุฒิ),YN15426986,JO5E-TG42937,HINO-JO5E,155,0,1ฒฎ-2561 กทม.,,22/1/2569,"6,075.00",,BH,121000000000,อริยะอีควิปเม้นท์(ประเทศไทย),รถแบคโฮ,22/1/2563
Heavy,1000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,BH-382,รถแบคโฮ ล้อแทร็ค JOHN DEERE E210-LC+BK,ใช้งาน,ติดBK-007,1YNE21ALLJC400900,UG4045G002859,JOHN DEERE,158,0,1ตฎ-9798 กทม.,,3/8/2569,"6,075.00",,BH,121000000000,JOHN DEERE,รถแบคโฮ,3/8/2563
Heavy,1000,ควนกุน ตอน 1,BH-383,รถแบคโฮ ล้อแทร็ค JOHN DEERE E210-LC,ใช้งาน,ช่วงล่าใหม่/,1YNE21ALHJC400896,UG4045G002908,JOHN DEERE,158,0,1ตฎ-9799 กทม.,,3/8/2569,"6,075.00",,BH,121000000000,JOHN DEERE,รถแบคโฮ,3/8/2563
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,BH-384,รถแบคโฮ บูมยาว15m KOBELCO SK 210LC,Stand by/รอใช้งาน,จ้างPM 7500-9000 H,YQ15405201,J05E-TG43492,SK210LC-10,155,0,1ตฎ-9800 กทม.,,3/8/2569,"6,075.00",,BH,221000000000,KOBELCO,รถแบคโฮ,3/8/2563
Heavy,2000,ควนกุน ตอน 1,BH-385,รถแบคโฮ ล้อแทร็ค HYDROMEK 230,ใช้งาน,,HMKH3450EL1342020,4HK1-766192,HMK230LC3,162,0,1ตฒ-746 กทม.,,26/3/2569,"6,075.00",,BH,221000000000,HIDROMEX,รถแบคโฮ,26/3/2564
Heavy,1000,ทล.3901ตอน2.2_1000,BH-386,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC210-10M0,Stand by/รอใช้งาน,จ้างทำ PM 9500-11000 ชม,KMTPC282ALTC02435,6D107-26724375,PC210-10M0,165,6.69,1ตฐ-7859 กทม.,,22/1/2569,"6,075.00",,BH,121000000000,KOMATSU,รถแบคโฮ,22/1/2564
Heavy,1000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-387,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC210-10M0,ใช้งาน,,KMTPC282CLTC02439,6D107-26724373,PC210-10M0,165,6.69,1ตฐ-7860 กทม.,12/4/2569,22/1/2569,"6,075.00",,BH,121000000000,KOMATSU,รถแบคโฮ,22/1/2564
Heavy,2000,ทล.3901ตอน2.2_2000,BH-388,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC210-10M0,Stand by/รอใช้งาน,,KMTPC282ALTC02421,6D107-26724335,KOMATSU-SAA6D107E-1,165,6.69,1ตฐ-7861 กทม.,,22/1/2569,"6,075.00",,BH,221000000000,BANGKOK KOMATSU,รถแบคโฮ,22/1/2564
Heavy,2000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-389,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC210-10M0,ใช้งาน,อยู่ 4-7,KMTPC282HLTC02647,6D107-26728154,PC210-10MO,165,6.69,1ตฒ-2523 กทม.,,17/5/2569,300,,BH,221000000000,KOMATSU,รถแบคโฮ,17/5/2564
Heavy,3000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-390,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC210-10M0,ใช้งาน,,KMTPC282ELTC02665,6D107-26728385,PC210-10MO,165,6.69,1ตฒ-2520 กทม.,,17/5/2569,"6,075.00",,BH,321000000000,KOMATSU,รถแบคโฮ,17/5/2564
Heavy,3000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-391,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC210-10M0,ใช้งาน,จ้าง PM 9500-11000 ชม.,KMTPC282CLTC02666,6D107-26728349,PC210-10MO,165,6.69,1ตฒ-2521 กทม.,,17/5/2569,"6,075.00",,BH,321000000000,KOMATSU,รถแบคโฮ,17/5/2564
Heavy,1000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,BH-392,รถแบคโฮ ล้อยาง VOLVO EW145B,ใช้งาน,BK-011/พระราม3,VCEW145BK00020582,12553878,VOLVO,139,0,1ตณ1345 กทม.,,29/11/2569,"4,050.00",,BH,121000000000,VOLVOอิตัลไทย,รถแบคโฮ,29/11/2564
Heavy,2000,ทล.3901ตอน2.2_2000,BH-393,รถแบคโฮ ล้อยาง HYDROMEK HMK140W H4,Stand by/รอใช้งาน,BK-009,HMKH2050CM1202001,4JJ1-292585,ISUZU,123,3,1ตต-2072 กทม.,,20/7/2568,"4,050.00",,BH,221000000000,HIDROMEX,รถแบคโฮ,20/7/2565
Heavy,1000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-394,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC200CE,ใช้งาน,รอเทสพขร.ใหม่,KMTPC303LMTC51115,4D107-26751106,PC200-10M0,138,4.46,1ตต-6088 กทม.,,12/10/2569,"6,075.00",,BH,121000000000,KOMATSU,รถแบคโฮ,12/10/2565
Heavy,2000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,BH-395,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC200CE,ใช้งาน,,KMTPC303EMTC51103,4D107-26751019,PC200-10M0,138,4.46,1ตต-6095 กทม.,,12/10/2569,"6,075.00",,BH,221000000000,KOMATSU,รถแบคโฮ,12/10/2565
Heavy,3000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-396,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC200CE,ใช้งาน,,KMTPC303LMTC51084,4D107-26751023,PC200-10M0,138,4.46,1ตต-6090 กทม.,,12/10/2569,"6,075.00",,BH,321000000000,KOMATSU,รถแบคโฮ,12/10/2565
Heavy,3000,อุโมงค์หัวหิน_1000,BH-397,รถแบคโฮ ล้อแทร็ค KOMATSU รุ่น PC200CE,ใช้งาน,,KMTPC303CMTC51085,4D107-26751026,SAA4D107E-1,138,4.46,1ตต-6098 กทม.,,12/10/2569,"6,075.00",,BH,321000000000,KOMATSU,รถแบคโฮ,12/10/2565
Heavy,1000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-398,รถแบคโฮ บูมยาว12m KOBELCO SK 140LC-11,ใช้งาน,ฟรีPM7000ชม,LP10405282,626887,ISUZU,97,0,1ตต-7198 กทม.,,7/11/2569,"6,075.00",,BH,121000000000,KOBELCO,รถแบคโฮ,7/11/2565
Heavy,1000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,BH-399,รถแบคโฮ ล้อแทร็ค KOBELCO SK140LC-11,ใช้งาน,"PM 7,000 ชม./พระราม3",LP10405735,650059,ISUZU,97,0,1ตถ-4874 กทม.,,24/4/2569,"6,075.00",บุ้งกี้ขนาด 0.6 m3,BH,121000000000,KOBELCOอริยะอีควิปเม้นท์(ประเท,รถแบคโฮ,24/4/2566
Heavy,3000,รถไฟ4-7สระบุรี_2000,BH-400,รถแบคโฮ บูมยาว 15 m KOBELCO SK210 LC-10,ใช้งาน,,YO15405835,JO5E TG50941,HINO,155,0,1ตถ-4875 กทม.,,24/4/2569,"6,075.00",บุ้งกี้ 0.45 m3,BH,321000000000,KOBELCOอริยะอีควิปเม้นท์(ประเท,รถแบคโฮ,24/4/2566
Heavy,1000,รถไฟ4-7สระบุรี_2000,BH-401,รถแบคโฮ ล้อแทร็ค KOBELCO SK75-11,ใช้งาน,,LG03320175,10531 A,YANMAR 4TNV98-AVYBIN,56,"3,318",1ตถ-4873 กทม.,,24/4/2569,"6,075.00",บุ้งกี้ 0.4 m3,BH,121000000000,KOBELCOอริยะอีควิปเม้นท์(ประเท,รถแบคโฮ,24/4/2566
Heavy,1000,อ่างเก็บน้ำห้วยฉลอม ตาก,BH-402,รถแบคโฮ ล้อแทร็ค KOMATSU PC210-10M0+BK,ใช้งาน,BK-010,KMTPC282CPTC05878,6D107-26773261,PC210-10M0,165,6.69,1ตถ-6565 กทม.,,30/5/2569,"6,075.00",,BH,121000000000,KOMATSUบ.บางกอกโคมัตสุเซลล์ จำ,รถแบคโฮ,30/5/2566
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,BK-004,หัวเบรกเกอร์ RHINO DKSH (30ตัน),Stand by/รอใช้งาน,BH-359,,,,0,0,,,,0,,BK,121000000000,,หัว BREAKER,
Heavy,1000,อุโมงค์หัวหิน_1000,BK-006,หัวเบรคเกอร์ (6ตัน),ใช้งาน,BH-366,,,,0,0,,,,0,,BK,121000000000,,หัว BREAKER,
Heavy,3000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,BK-007,หัวเจาะ NPK รุ่น GH-9 (20 ตัน),ใช้งาน,BH-382,127761,,,0,0,,,,0,,BK,321000000000,,หัว BREAKER,
Heavy,2000,หน่วยงานสระบุรี(ส่วนกลาง),BK-008,หัวเบรกเกอร์ NPK GH-9 (20ตัน),ใช้งาน,เตรียมติดBH-354,,,,0,0,,,,0,,BK,221000000000,บริษัท คอนสตรัคชั่น โปรดักส์,หัว BREAKER,
Heavy,2000,ทล.3901ตอน2.2_2000,BK-009,หัว BREAKER OKADA1300,Stand by/รอย้าย,หัวเจาะของBH-393,80033,,,0,0,,,,0,,BK,221000000000,,หัว BREAKER,
Heavy,1000,อ่างเก็บน้ำห้วยฉลอม ตาก,BK-010,หัว BREAKER OKADA TOP205J (20 ตัน),ใช้งาน,BH-402,,,,0,0,,,,0,,BK,121000000000,บ. โอคาดะ อะดิยน(ไทย) จำกัด,หัว BREAKER,
Heavy,1000,ถนนวงแหวนรอบเมืองตรัง ตอน บ.ควนปริง,BK-011,หัว BREAKER OKADA1300,ใช้งาน,BH-392/พระราม3,P22060023,,,0,0,,,,0,,BK,121000000000,บ. โอคาดะ อะอิยน(ไทย),หัว BREAKER,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,BSD-005,บล็อกโรยหิน,เสีย/รอซ่อม,OK,,,,0,0,,,,0,,BSD,121000000000,,บล็อกโรยหินติดท้ายรถดั้ม,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,BSD-006,บล็อกโรยหิน,เสีย/รอซ่อม,,,,,0,0,,,,0,,BSD,121000000000,PAN-EQUIPMENT,บล็อกโรยหินติดท้ายรถดั้ม,
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,BW-001,"พัดลมเป่าฝุ่นถนน 28""",Stand by/รอใช้งาน,,,,,0,0,,,,0,,BW,221000000000,,พัดลมเป่าฝุ่นติดตท้าย,
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,BW-002,"พัดลมเป่าฝุ่นถนน 28""",Stand by/รอใช้งาน,,,,,0,0,,,,0,,BW,221000000000,,พัดลมเป่าฝุ่นติดตท้าย,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,BW-003,"พัดลมเป่าฝุ่นถนน 28""",Stand by/รอใช้งาน,,,,,0,0,,,,0,,BW,121000000000,,พัดลมเป่าฝุ่นติดตท้าย,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,BW-004,"พัดลมเป่าฝุ่นถนน 28""",Stand by/รอใช้งาน,,,,,0,0,,,,0,,BW,121000000000,,พัดลมเป่าฝุ่นติดตท้าย,
Heavy,1000,แพล้นท์ Segment สระบุรี_1000,CCV-001,Mobile Concrete Conveyor,ใช้งาน,,MCP-48 REMARK,,MCP-48 REMARK,0,0,,,,0,,CCV,121000000000,Mobile Concrete,สายพานลำเลียงคอนกรีต,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,CM-032,รถผสมคอนกรีต NISSAN CWM430HMR,เสีย/ซ่อม,กำลังทำสี+โม่+ไฟ,CWM430M-10962,PE6-184329,NISSAN-PE6,230,0,91-8446 กทม.,,31/12/2569,"3,600.00",GPS:MAPPOINT,CM,131000000000,NISSAN,รถผสมปูน,11/3/2539
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,CM-041,รถผสมคอนกรีต NISSAN CWM430HMR,เสีย/ซ่อม,รอทำสี,CWM430H-14847,PE6-187006,NISSAN-PE6,230,0,92-9262 กทม.,,31/3/2569,"3,600.00",GPS:MAPPOINT,CM,231000000000,NISSAN,รถผสมปูน,22/4/2540
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,CM-042,รถผสมคอนกรีต NISSAN CWM430HMR,Stand by/รอใช้งาน,OK,CWM430H-14849,PE6-187012,NISSAN-PE6,230,0,92-9261 กทม.,,31/3/2569,"3,600.00",GPS:MAPPOINT,CM,231000000000,NISSAN,รถผสมปูน,22/4/2540
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,CM-044,รถผสมคอนกรีต NISSAN CWM430HMR,Stand by/รอใช้งาน,OK,CWM430-14851,PE6-187004,NISSAN-PE6,230,0,92-9335 กทม.,,31/3/2569,"3,600.00",GPS:MAPPOINT,CM,231000000000,NISSAN,รถผสมปูน,24/4/2540
Heavy,2000,ศูนย์ซ่อมสระบุรี_2000,CM-045,รถผสมคอนกรีต NISSAN CWM430HMR,เสีย/ซ่อม,รอทำสี+โม่+ไฟ,CWM430H-14853,PE6-187013,NISSAN-PE6,230,0,92-9435 กทม.,,31/3/2569,"3,600.00",GPS:MAPPOINT,CM,231000000000,NISSAN,รถผสมปูน,30/4/2540
Heavy,1000,สนญ CCSP,CM-047,รถผสมคอนกรีต ขนาด 6 คิว รุ่นXSC06V,ใช้งาน,,MNKFM1AK3XHX10052,A09CURH10299,,0,0,,,,0,,CM,133000000000,,รถผสมปูน,
Heavy,1000,สนญ CCSP,CM-048,รถผสมคอนกรีต ขนาด 6 คิว รุ่นXSC06V,ใช้งาน,,MNKFM1AK3XHX10053,A09CURH10300,,0,0,,,,0,,CM,133000000000,,รถผสมปูน,
Heavy,1000,ศูนย์ซ่อมสระบุรี_1000,CM-049,รถผสมคอนกรีต NISSAN CWM430HMR,Stand by/รอใช้งาน,CM-046,CWM430H-14860,PE6-187035,NISSAN-PE6,230,0,92-9334 กทม.,,31/3/2569,"3,600.00",GPS:MAPPOINT,CM,131000000000,NISSAN,รถผสมปูน,24/4/2540
Support,2000,ทล.3901ตอน2.2_2000,CON-001,ตู้คอนเทนเนอร์ 6เมตร/สำหรับเก็บของ,Stand by/รอใช้งาน,โรงซ่อม/ใช้เก็บของทั่วไป,,,,0,0,,,,0,,CON,223000000000,,ตู้คอนเทนเนอร์/CONTAINER,
Support,1000,รถไฟ4-7สระบุรี_2000,CON-002,ตู้คอนเทนเนอร์ 6เมตร/สำหรับOFFICE,ใช้งาน,เอกสาร จนท.รถไฟ,,,,0,0,,,,0,,CON,123000000000,,ตู้คอนเทนเนอร์/CONTAINER,
Support,1000,ศูนย์ซ่อมสระบุรี_1000,CON-003,ตู้คอนเทนเนอร์ 6เมตร/สำหรับOFFICE,Stand by/รอใช้งาน,สโตร์/ออฟฟิศเก็บอะไหล่,,,,0,0,,,,0,,CON,123000000000,,ตู้คอนเทนเนอร์/CONTAINER,
